name,address
10 Academy St.(existing office) - Bridge,10 Academy St.
10 S. Academy(office) ReFi BWE,10 South Academy Street
100 Homes Initiative,11625 Buckingham Avenue
100 Homes Initiative,12112 Longmead Avenue
100 Homes Initiative,12512 Milligan Avenue
100 Homes Initiative,2645 E. 110th Street
100 Homes Initiative,3193 E. 119th Street
100 Homes Initiative,3242 W. 115th Street
100 Homes Initiative,3261 E. 130th Street
100 Homes Initiative,3283 E. 130th Street
100 Homes Initiative,3291 E. 130th Street
100 Homes Initiative,3295 E. 130th Street
100 Homes Initiative,3416 E. 134th Street
100 Homes Initiative,3559 W. 129th Street
100 Homes Initiative,11805 Guardian Blvd
100 Homes Initiative,2177 W. 95th Street
100 Homes Initiative,2205 E. 82nd Street
100 Homes Initiative,3418 W. 54th Street
100 Homes Initiative,3478 W. 97th Street
100 Homes Initiative,709 E. 162nd Street
100 Homes Initiative,8110 Platt Avenue
1001 Glengarry Drive Industrial,1001 Glengarry Drive
10501 Bunsen Way - B Note,10501 Bunsen Way
1080 Washington,1080 Washington Avenue
110 E  Piedmont Avenue,110 E  Piedmont Avenue
1100 Eastern Ave NE,1100 Eastern Avenue NE
1201 Powell/ 900 Jackson,1201 Powell
1207 Kent Street,1207 Kent Street
1412 14th Street,1412 14th Street
1504-1530 Kenny Road,1504-1530 Kenny Road
1535 Jackson,1535 Jackson Street
160 Bethlehem Pike,160 Bethlehem Pike
17 South Apartments,US 17 South & Marginal Road
1700 Merrimac Street ,1700 Merrimac Street 
1700 Santa Fe,1700 S. Santa Fe Avenue
17th Place Townhomes,1001 18th Street
1800 Onzaga Street,1800 Onzaga Street
1923 West Farms - Compass 6 Refi,1923 West Farms Road
2045 Donald Lee Hollowell Parkway,2045 Donald Lee Hollowell Parkway
2069 Bruckner,2069 Bruckner Boulevard
21 Pearl Street,21 Pearl Street
22 on the River - Refinance,740 River Drive
221 West Grand Avenue,221 W Grand Avenue
231 Meed and 5511 Raeford - Refinance,5511 Raeford Road
231 Meed and 5511 Raeford - Refinance,231 Meed Court
2505 Palmyra,2505 Palmyra
2620 Palmyra,2620 Palmyra
2650 Quantico Ave,2650 Quantico Ave
3200 Fourth Avenue - 2019 Blend & Extend,3200 Fourth Avenue
3218 Wisconsin Ave NW,3218 Wisconsin Ave NW
332 West Bland Street,332 West Bland Street
3443 Benning Road NE,3443 Benning Road NE
3451 Benning Road NE,3451 Benning Road NE
360 Second Ave,360 Second Ave
3601 Sunset Blvd,3601 Sunset Blvd
3828 Apartments,2705 East 38th Street
43rd St. Apartments,4046 - 4054 43rd St
43rd Street Apartments,4046 43rd Street
43rd Street Apartments,4054 43rd Street
43rd Street Apartments,4054 43rd Street
4697 Third Avenue,4697 Third Avenue
490 N Broad St,490 N Broad St
54 South Commerce Way - 2019 Refi,54 South Commerce Way
5900 Eastern Ave,5900 S Eastern Ave
5995 Windward Parkway,5995 Windward Parkway
5th & Howard - South Market,912 Howard Street
60 Mansfield Road,60 Mansfield Road
600 Beta (Acquisition),600 Beta Dr
6204 New Cut Road Industrial,6204 New Cut Road
66 Ocean View (Country Club Apts),66 Ocean View Ave
7422 Chapman Ave-Note B,7422 Chapman Avenue
7742 S. Ada Street Apartments,7742 S. Ada Street
793-97 Garden Street HDFC,795 Garden Street
800 Clement/289 9th avenue,800 Clement Street; 289 9th avenue
810 Sycamore,810 Sycamore Street
813 McDaniel - Modular,813 McDaniel
830 Kent Street,830 Kent Street
848 S. 8th Street Building,848 S. 8th Street
8655 Production Avenue,8655 Production Avenue
8825 Wilshire,8825 Wilshire Blvd
