,left_side,right_side,similarity
0,10 Academy St.(existing office) - Bridge 10 Academy St.,10 Academy St.(existing office) - Bridge 10 Academy St.,0.9999999999999997
1,10 Academy St.(existing office) - Bridge 10 Academy St.,10 S. Academy(office) ReFi BWE 10 South Academy Street,0.22164679654558478
2,10 Academy St.(existing office) - Bridge 10 Academy St.,Academy Terrace 6401 Academy Road NE,0.1054738104825917
3,10 Academy St.(existing office) - Bridge 10 Academy St.,Fox School 10 E. Main St.,0.08519293983836848
4,10 Academy St.(existing office) - Bridge 10 Academy St.,Broderick Tower 10 Witherell Street,0.06251342622098294
5,10 S. Academy(office) ReFi BWE 10 South Academy Street,10 S. Academy(office) ReFi BWE 10 South Academy Street,0.9999999999999999
6,10 S. Academy(office) ReFi BWE 10 South Academy Street,10 Academy St.(existing office) - Bridge 10 Academy St.,0.22164679654558478
7,10 S. Academy(office) ReFi BWE 10 South Academy Street,Academy Terrace 6401 Academy Road NE,0.11035184423212757
8,10 S. Academy(office) ReFi BWE 10 South Academy Street,Broderick Tower 10 Witherell Street,0.07335197954953877
9,10 S. Academy(office) ReFi BWE 10 South Academy Street,Fox School 10 E. Main St.,0.06583457277820125
10,100 Homes Initiative 11625 Buckingham Avenue,100 Homes Initiative 11625 Buckingham Avenue,1.0000000000000002
11,100 Homes Initiative 11625 Buckingham Avenue,100 Homes Initiative 12112 Longmead Avenue,0.20476223803733828
12,100 Homes Initiative 11625 Buckingham Avenue,100 Homes Initiative 8110 Platt Avenue,0.20476223803733828
13,100 Homes Initiative 11625 Buckingham Avenue,100 Homes Initiative 12512 Milligan Avenue,0.20476223803733828
14,100 Homes Initiative 11625 Buckingham Avenue,100 Homes Initiative 3283 E. 130th Street,0.1946240243024769
15,100 Homes Initiative 12112 Longmead Avenue,100 Homes Initiative 12112 Longmead Avenue,1.0
16,100 Homes Initiative 12112 Longmead Avenue,100 Homes Initiative 11625 Buckingham Avenue,0.20476223803733828
17,100 Homes Initiative 12112 Longmead Avenue,100 Homes Initiative 8110 Platt Avenue,0.20476223803733828
18,100 Homes Initiative 12112 Longmead Avenue,100 Homes Initiative 12512 Milligan Avenue,0.20476223803733828
19,100 Homes Initiative 12112 Longmead Avenue,100 Homes Initiative 3283 E. 130th Street,0.1946240243024769
20,100 Homes Initiative 12512 Milligan Avenue,100 Homes Initiative 12512 Milligan Avenue,1.0
21,100 Homes Initiative 12512 Milligan Avenue,100 Homes Initiative 11625 Buckingham Avenue,0.20476223803733828
22,100 Homes Initiative 12512 Milligan Avenue,100 Homes Initiative 8110 Platt Avenue,0.20476223803733828
23,100 Homes Initiative 12512 Milligan Avenue,100 Homes Initiative 12112 Longmead Avenue,0.20476223803733828
24,100 Homes Initiative 12512 Milligan Avenue,100 Homes Initiative 3283 E. 130th Street,0.1946240243024769
25,100 Homes Initiative 2645 E. 110th Street,100 Homes Initiative 2645 E. 110th Street,0.9999999999999998
26,100 Homes Initiative 2645 E. 110th Street,100 Homes Initiative 3261 E. 130th Street,0.20594396249024843
27,100 Homes Initiative 2645 E. 110th Street,100 Homes Initiative 3295 E. 130th Street,0.20594396249024843
28,100 Homes Initiative 2645 E. 110th Street,100 Homes Initiative 3291 E. 130th Street,0.20594396249024843
