uniqueid,suffix,name,address,city,state,partner
0,a,10 Academy St.(existing office) - Bridge,10 Academy St.,Greenville,SC,
1,a,10 S. Academy(office) ReFi BWE,10 South Academy Street,Greenville,SC,"10 Academy Street, LLC"
2,a,100 Homes Initiative,11625 Buckingham Avenue,Cleveland,OH,Habitat for Humanity of Greater Cleveland
3,a,100 Homes Initiative,12112 Longmead Avenue,Cleveland,OH,Habitat for Humanity of Greater Cleveland
4,a,100 Homes Initiative,12512 Milligan Avenue,Cleveland,OH,Habitat for Humanity of Greater Cleveland
5,a,100 Homes Initiative,2645 E. 110th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
6,a,100 Homes Initiative,3193 E. 119th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
7,a,100 Homes Initiative,3242 W. 115th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
8,a,100 Homes Initiative,3261 E. 130th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
9,a,100 Homes Initiative,3283 E. 130th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
10,a,100 Homes Initiative,3291 E. 130th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
11,a,100 Homes Initiative,3295 E. 130th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
12,a,100 Homes Initiative,3416 E. 134th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
13,a,100 Homes Initiative,3559 W. 129th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
14,a,100 Homes Initiative,11805 Guardian Blvd,Cleveland,OH,Habitat for Humanity of Greater Cleveland
15,a,100 Homes Initiative,2177 W. 95th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
16,a,100 Homes Initiative,2205 E. 82nd Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
17,a,100 Homes Initiative,3418 W. 54th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
18,a,100 Homes Initiative,3478 W. 97th Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
19,a,100 Homes Initiative,709 E. 162nd Street,Cleveland,OH,Habitat for Humanity of Greater Cleveland
20,a,100 Homes Initiative,8110 Platt Avenue,Cleveland,OH,Habitat for Humanity of Greater Cleveland
21,a,1001 Glengarry Drive Industrial,1001 Glengarry Drive,Fairdale,KY,"The Schroering Company, Inc."
22,a,10501 Bunsen Way - B Note,10501 Bunsen Way,Louisville,KY,BCL - Louisville LLC
23,a,1080 Washington,1080 Washington Avenue,Bronx,NY,Bronx Pro Group
24,a,110 E  Piedmont Avenue,110 E  Piedmont Avenue,Durham ,NC,"City of Durham, Self=help"
25,a,1100 Eastern Ave NE,1100 Eastern Avenue NE,Washington,DC,Neighborhood Development Company
26,a,1201 Powell/ 900 Jackson,1201 Powell,San Francisco,CA,Chinatown CDC
27,a,1207 Kent Street,1207 Kent Street,Durham ,NC,"City of Durham, Self-Help, Habitat"
28,a,1412 14th Street,1412 14th Street,Santa Monica,CA,"Jackett II Union Hills, LLC and Jackett III Union Hills, LLC"
29,a,1504-1530 Kenny Road,1504-1530 Kenny Road,Columbus,OH,"KMS Preferred Properties, LLC"
30,a,1535 Jackson,1535 Jackson Street,San Francisco,CA,Chinatown CDC
31,a,160 Bethlehem Pike,160 Bethlehem Pike,Colmar,PA,"DS Colmar, LLC"
32,a,17 South Apartments,US 17 South & Marginal Road,Charleston,SC,EYC Companies
33,a,1700 Merrimac Street ,1700 Merrimac Street ,Durham ,NC,"City of Durham, Self-Help, Duke University, Durham Housing Authority, Housing for New Hope / Families Moving Forward"
34,a,1700 Santa Fe,1700 S. Santa Fe Avenue,Los Angeles,CA,1700 South Santa Fe Avenue LLC
35,a,17th Place Townhomes,1001 18th Street,Bakersfield,CA,Sage Equities
36,a,1800 Onzaga Street,1800 Onzaga Street,New Orleans,LA,Vaucresson Creole Investments LLC
37,a,1923 West Farms - Compass 6 Refi,1923 West Farms Road,Bronx,NY,Monadnock Development LLC
38,a,2045 Donald Lee Hollowell Parkway,2045 Donald Lee Hollowell Parkway,Atlanta,GA,Grove Park Ventures LLC
39,a,2069 Bruckner,2069 Bruckner Boulevard,Bronx,NY,Azimuth Development Group
40,a,21 Pearl Street,21 Pearl Street,Austin,TX,
41,a,22 on the River - Refinance,740 River Drive,Saint Paul,MN,Fine Associates
42,a,221 West Grand Avenue,221 W Grand Avenue,Montavle,NJ,Michael Sachs
43,a,231 Meed and 5511 Raeford - Refinance,5511 Raeford Road,Fayetteville,NC,Edward Schultz
44,a,231 Meed and 5511 Raeford - Refinance,231 Meed Court,Fayetteville,NC,Edward Schultz
45,a,2505 Palmyra,2505 Palmyra,New Orleans,LA,Tulane/Canal Neighborhood Development Corporation
46,a,2620 Palmyra,2620 Palmyra,New Orleans,LA,Tulane/Canal Neighborhood Development Corporation
47,a,2650 Quantico Ave,2650 Quantico Ave,Baltimore,MD,Holy Nativity St. John Development Corporation
48,a,3200 Fourth Avenue - 2019 Blend & Extend,3200 Fourth Avenue,San Diego,CA,Forte LLC
49,a,3218 Wisconsin Ave NW,3218 Wisconsin Ave NW,Washington ,DC,Mi Casa
50,a,332 West Bland Street,332 West Bland Street,Charlotte,NC,Magnus Capital Partners
51,a,3443 Benning Road NE,3443 Benning Road NE,Washington,DC,3443 Benning LLC
52,a,3451 Benning Road NE,3451 Benning Road NE,Washington,DC,3451 Benning LLC
53,a,360 Second Ave,360 Second Ave,Waltham,MA,"360 Waltham Associates, LLC"
54,a,3601 Sunset Blvd,3601 Sunset Blvd,West Columbia,SC,"Weston, Inc."
55,a,3828 Apartments,2705 East 38th Street,Minneapolis,MN,Lander Group
56,a,43rd St. Apartments,4046 - 4054 43rd St,San Diego,CA,Association for Community Housing Solutions
57,a,43rd Street Apartments,4046 43rd Street,San Diego,CA,The Association for Community Housing Solutions
58,a,43rd Street Apartments,4054 43rd Street,San Diego,CA,
