,,left_side,right_side,similarity
0,0,"Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a","Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a",1
0,1,"Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a","Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A",0.602444128
0,2,"Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a","Hilton Seattle 1301 6th Avenue Seattle, Washington, 98101-2314, USA_0",0.202655241
0,3,"Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a","Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0",0.18770997
0,4,"Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a","The Westin Seattle 1900 5th Avenue, Seattle, Washington 98101 USA_0",0.186850504
1,5,"Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0","Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0",1
1,6,"Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0","Hilton Seattle 1301 6th Avenue Seattle, Washington, 98101-2314, USA_0",0.347130464
1,7,"Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0","The Westin Seattle 1900 5th Avenue, Seattle, Washington 98101 USA_0",0.326833934
1,8,"Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0","Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a",0.18770997
1,9,"Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0","Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0",0.088302421
2,10,"Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0","Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0",1
2,11,"Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0","Crowne Plaza Seattle 1113 6th Ave, Seattle, Washington 98101_0",0.462001401
2,12,"Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0","Inn at the WAC 1325 6th Ave, Seattle, WA 98101_0",0.196512014
2,13,"Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0","Crowne Plaza Seattle Airport 17338 International Blvd, Seattle, WA 98188_0",0.192813241
2,14,"Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0","Hyatt Place Seattle 110 6th Ave N, Seattle, WA 98109_0",0.155014772
3,15,"Kimpton Hotel Monaco Seattle  1101 4th Ave, Seattle, WA98101_0","Kimpton Hotel Monaco Seattle  1101 4th Ave, Seattle, WA98101_0",1
3,16,"Kimpton Hotel Monaco Seattle  1101 4th Ave, Seattle, WA98101_0","W Seattle 1112 4th Ave, Seattle, WA 98101_0",0.122074011
3,17,"Kimpton Hotel Monaco Seattle  1101 4th Ave, Seattle, WA98101_0","Hotel Andra 2000 4th Ave, Seattle, WA 98121_0",0.110194291
3,18,"Kimpton Hotel Monaco Seattle  1101 4th Ave, Seattle, WA98101_0","Vermont Inn 2721 4th Ave, Seattle, WA 98121_0",0.100865747
3,19,"Kimpton Hotel Monaco Seattle  1101 4th Ave, Seattle, WA98101_0","Stay Alfred on 4th Avenue 2201 4th Ave, Seattle, WA 98121_0",0.093476812
4,20,"The Westin Seattle 1900 5th Avenue, Seattle, Washington 98101 USA_0","The Westin Seattle 1900 5th Avenue, Seattle, Washington 98101 USA_0",1
4,21,"The Westin Seattle 1900 5th Avenue, Seattle, Washington 98101 USA_0","Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0",0.326833934
4,22,"The Westin Seattle 1900 5th Avenue, Seattle, Washington 98101 USA_0","Hilton Seattle 1301 6th Avenue Seattle, Washington, 98101-2314, USA_0",0.231415666
4,23,"The Westin Seattle 1900 5th Avenue, Seattle, Washington 98101 USA_0","Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a",0.186850504
4,24,"The Westin Seattle 1900 5th Avenue, Seattle, Washington 98101 USA_0","Travelodge Seattle by The Space Needle 200 6th Avenue North, Seattle, Washington 98109_0",0.0538105
5,25,"The Paramount Hotel Seattle 724 Pine Street, Seattle Central Business District, Seattle, WA 98101_0","The Paramount Hotel Seattle 724 Pine Street, Seattle Central Business District, Seattle, WA 98101_0",1
5,26,"The Paramount Hotel Seattle 724 Pine Street, Seattle Central Business District, Seattle, WA 98101_0","Hotel Seattle 315 Seneca Street, Seattle, WA 98101_0",0.099203019
